country_name,location_name,service_point_name,service_type,satisfied,satisfied_num,idea,lat_lon,time_zone,created_at_tz,uploaded_at_tz,unique_id,gender
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,TRUE,1,Buy a vehicle for the traders in palabek settlement to help us in going for auction in other areas like come traders here.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:24,1/28/2021 12:28,e26b3d90-617c-11eb-a5d6-7ddcf5547601,MALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,FALSE,0,Support us with a transport means to take our agricultural products to the markets in kitgum or Gulu so that we sell at a favourable price.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:21,1/28/2021 12:28,80f85750-617c-11eb-a5d6-7ddcf5547601,MALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,FALSE,0,Bring a box for some saving groups in zone 6 block 5 that did not get so that they also get it to keep their money.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:13,1/28/2021 12:28,72317e50-617b-11eb-a5d6-7ddcf5547601,MALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,FALSE,0,Support us with ropes to tie our goats during this dry season so that they don't destroy peoples properties..,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:08,1/28/2021 12:28,ae36bf60-617a-11eb-a5d6-7ddcf5547601,MALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,FALSE,0,Support our group with a pop corn machine that works with charcoal so that we make money from it.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 11:50,1/28/2021 12:28,2a50f2d0-6178-11eb-a5d6-7ddcf5547601,MALE
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,TRUE,1,Be receiving only cases that are referred to offices by RWCs for us to have respect in the community because people go to offices and lie,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:52,1/28/2021 10:54,ff0d06c0-616f-11eb-960b-2ff439dba222,FEMALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,FALSE,0,Train saving groups on the importance of investments and how to identify good investment opportunities so that their money is used well.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:27,1/28/2021 11:19,9366c440-616c-11eb-9e21-853b838c77aa,MALE
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,TRUE,1,Build houses for total orphans for them to own houses because there are those who don't have where to live,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:25,1/28/2021 10:54,4a0a3fc0-616c-11eb-960b-2ff439dba222,MALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,FALSE,0,Provide seeds early this time so that we can get good yields due to planting at the right time.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:22,1/28/2021 11:19,e086aed0-616b-11eb-9e21-853b838c77aa,MALE
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,TRUE,1,Hire bigger land for the agricultural groups so that they can do farming on a wider scale and get higher profits that can benefit them more.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:20,1/28/2021 11:19,a2302030-616b-11eb-9e21-853b838c77aa,MALE
